Bixente Lizarazu, 490, <a href='http://en.wikipedia.org/wiki/Bixente_Lizarazu'>Bixente Lizarazu</a>
Adrien Rabiot, 490, <a href='http://en.wikipedia.org/wiki/Adrien_Rabiot'>Adrien Rabiot</a>
Philippe Mexès, 489, <a href='http://en.wikipedia.org/wiki/Philippe_Mex%C3%A8s'>Philippe Mexès</a>
Marcel Desailly, 489, <a href='http://en.wikipedia.org/wiki/Marcel_Desailly'>Marcel Desailly</a>
Florent Malouda, 488, <a href='http://en.wikipedia.org/wiki/Florent_Malouda'>Florent Malouda</a>
Sebastian De Maio, 487, <a href='http://en.wikipedia.org/wiki/Sebastian_De_Maio'>Sebastian De Maio</a>
Leroy Sané, 487, <a href='http://en.wikipedia.org/wiki/Leroy_San%C3%A9'>Leroy Sané</a>
Emmanuel Petit, 487, <a href='http://en.wikipedia.org/wiki/Emmanuel_Petit'>Emmanuel Petit</a>
Bafétimbi Gomis, 487, <a href='http://en.wikipedia.org/wiki/Baf%C3%A9timbi_Gomis'>Bafétimbi Gomis</a>
Pierre-Alain Frau, 486, <a href='http://en.wikipedia.org/wiki/Pierre-Alain_Frau'>Pierre-Alain Frau</a>
Nabil Fekir, 485, <a href='http://en.wikipedia.org/wiki/Nabil_Fekir'>Nabil Fekir</a>
Jean-Louis Leca, 485, <a href='http://en.wikipedia.org/wiki/Jean-Louis_Leca'>Jean-Louis Leca</a>
Yannick Bolasie, 484, <a href='http://en.wikipedia.org/wiki/Yannick_Bolasie'>Yannick Bolasie</a>
Aymeric Laporte, 484, <a href='http://en.wikipedia.org/wiki/Aymeric_Laporte'>Aymeric Laporte</a>
Mathieu Flamini, 483, <a href='http://en.wikipedia.org/wiki/Mathieu_Flamini'>Mathieu Flamini</a>
Younès Belhanda, 482, <a href='http://en.wikipedia.org/wiki/Youn%C3%A8s_Belhanda'>Younès Belhanda</a>
Olivier Martinez, 482, <a href='http://en.wikipedia.org/wiki/Olivier_Martinez'>Olivier Martinez</a>
Jean-François Larios, 482, <a href='http://en.wikipedia.org/wiki/Jean-Fran%C3%A7ois_Larios'>Jean-François Larios</a>
Karim Aït-Fana, 481, <a href='http://en.wikipedia.org/wiki/Karim_A%C3%AFt-Fana'>Karim Aït-Fana</a>
Jean-Marc Ferreri, 481, <a href='http://en.wikipedia.org/wiki/Jean-Marc_Ferreri'>Jean-Marc Ferreri</a>
Rémi Garde, 480, <a href='http://en.wikipedia.org/wiki/R%C3%A9mi_Garde'>Rémi Garde</a>
Raymond Domenech, 480, <a href='http://en.wikipedia.org/wiki/Raymond_Domenech'>Raymond Domenech</a>
Lucas Hernández Pi, 479, <a href='http://en.wikipedia.org/wiki/Lucas_Hern%C3%A1ndez'>Lucas Hernández</a>
